Year,RE_share,Source,annual_change_pp
2007,3.96,"HEESI 2017, Table 1.7.2",
2008,4.37,"HEESI 2017, Table 1.7.2",0.41
2009,4.35,"HEESI 2019, Table 1.6",-0.02
2010,5.42,"HEESI 2019, Table 1.6",1.07
2011,3.77,"HEESI 2019, Table 1.6",-1.65
2012,3.92,"HEESI 2019, Table 1.6",0.15
2013,4.96,"HEESI 2019, Table 1.6",1.04
2014,5.32,"HEESI 2019, Table 1.6",0.36
2015,4.97,"HEESI 2019, Table 1.6",-0.35
2016,6.13,"HEESI 2019, Table 1.6",1.16
2017,6.66,"HEESI 2019, Table 1.6",0.53
2018,8.61,"HEESI 2019, Table 1.6",1.95
2019,9.18,"HEESI 2019, Table 1.6",0.57
2020,10.94,"HEESI 2023, Table 1.6",1.76
2021,11.83,"HEESI 2023, Table 1.6",0.89
2022,12.3,IESR,0.47
2023,13.1,IESR,0.8
2024,14.65,"HEESI 2024, Table 1.6",1.55
2025,15.75,MEMR,1.1
